title,authors,publication_year,doi,abstract,cited_by_count,source_name,openalex_id,landing_page_url,keyword,retrieved_at,relevance_score,impact_score,recency_score,completeness_score,preliminary_score
Unsupervised Learning for Stellar Spectra with Deep Normalizing Flows,Ioana Ciucă; Yuan-Sen Ting,2022,10.48550/arxiv.2207.02785,"Stellar spectra encode detailed information about the stars. However, most machine learning approaches in stellar spectroscopy focus on supervised learning. We introduce Mendis, an unsupervised learning method, which adopts normalizing flows consisting of Neural Spline Flows and GLOW to describe the complex distribution of spectral space. A key advantage of Mendis is that we can describe the conditional distribution of spectra, conditioning on stellar parameters, to unveil the underlying structures of the spectra further. In particular, our study demonstrates that Mendis can robustly capture the pixel correlations in the spectra leading to the possibility of detecting unknown atomic transitions from stellar spectra. The probabilistic nature of Mendis also enables a rigorous determination of outliers in extensive spectroscopic surveys without the need to measure elemental abundances through existing analysis pipelines beforehand.",4,arXiv (Cornell University),https://openalex.org/W4284892148,http://arxiv.org/abs/2207.02785,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.825,0.1924,0.6,1.0,0.6077
Mimicking the halo–galaxy connection using machine learning,"Artale, María Celeste",2022,10.1093/mnras/stac1469,"ABSTRACT Elucidating the connection between the properties of galaxies and the properties of their hosting haloes is a key element in galaxy formation. When the spatial distribution of objects is also taken under consideration, it becomes very relevant for cosmological measurements. In this paper, we use machine-learning techniques to analyse these intricate relations in the IllustrisTNG300 magnetohydrodynamical simulation, predicting baryonic properties from halo properties. We employ four different algorithms: extremely randomized trees, K-nearest neighbours, light gradient boosting machine, and neural networks, along with a unique and powerful combination of the results from all four approaches. Overall, the different algorithms produce consistent results in terms of predicting galaxy properties from a set of input halo properties that include halo mass, concentration, spin, and halo overdensity. For stellar mass, the Pearson correlation coefficient is 0.98, dropping down to 0.7–0.8 for specific star formation rate (sSFR), colour, and size. In addition, we apply, for the first time in this context, an existing data augmentation method, synthetic minority oversampling technique for regression with Gaussian noise (SMOGN), designed to alleviate the problem of imbalanced data sets, showing that it improves the overall shape of the predicted distributions and the scatter in the halo–galaxy relations. We also demonstrate that our predictions are good enough to reproduce the power spectra of multiple galaxy populations, defined in terms of stellar mass, sSFR, colour, and size with high accuracy. Our results align with previous reports suggesting that certain galaxy properties cannot be reproduced using halo features alone.",28,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),https://openalex.org/W4281823699,https://doi.org/10.1093/mnras/stac1469,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.4025,0.6,1.0,0.6007
The <i>Gaia</i>-ESO Survey: Chemical evolution of Mg and Al in the Milky Way with machine learning,M. Ambrosch; G. Guiglion; Š. Mikolaitis; C. Chiappini; G. Tautvaiśienė; S. Nepal; G. Gilmore; S. Randich; T. Bensby; A. Bayo; M. Bergemann; L. Morbidelli; E. Pancino; G. G. Sacco; R. Smiljanić; S. Zaggia; P. Jofré; F. Jiménez-Esteban,2023,10.1051/0004-6361/202244766,"Context. To take full advantage of upcoming large-scale spectroscopic surveys, it will be necessary to parameterize millions of stellar spectra in an efficient way. Machine learning methods, especially convolutional neural networks (CNNs), will be among the main tools geared at achieving this task. Aims. We aim to prepare the groundwork for machine learning techniques for the next generation of spectroscopic surveys, such as 4MOST and WEAVE. Our goal is to show that CNNs can predict accurate stellar labels from relevant spectral features in a physically meaningful way. The predicted labels can be used to investigate properties of the Milky Way galaxy. Methods. We built a neural network and trained it on GIRAFFE spectra with their associated stellar labels from the sixth internal Gaia -ESO data release. Our network architecture contains several convolutional layers that allow the network to identify absorption features in the input spectra. The internal uncertainty was estimated from multiple network models. We used the t-distributed stochastic neighbor embedding tool to remove bad spectra from our training sample. Results. Our neural network is able to predict the atmospheric parameters T eff and log( g ) as well as the chemical abundances [Mg/Fe], [Al/Fe], and [Fe/H] for 36 904 stellar spectra. The training precision is 37 K for T eff , 0.06 dex for log( g ), 0.05 dex for [Mg/Fe], 0.08 dex for [Al/Fe], and 0.04 dex for [Fe/H]. Network gradients reveal that the network is inferring the labels in a physically meaningful way from spectral features. We validated our methodology using benchmark stars and recovered the properties of different stellar populations in the Milky Way galaxy. Conclusions. Such a study provides very good insights into the application of machine learning for the analysis of large-scale spectroscopic surveys, such as WEAVE and 4MOST Milky Way disk and bulge low- and high-resolution (4MIDABLE-LR and -HR). The community will have to put substantial efforts into building proactive training sets for machine learning methods to minimize any possible systematics.",15,Astronomy and Astrophysics,https://openalex.org/W4319662832,https://doi.org/10.1051/0004-6361/202244766,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3314,0.7,1.0,0.5994
Identifying Symbiotic Stars with Machine Learning,Yongle Jia; Sufen Guo; Chunhua Zhu; Lin Li; Mei Ma; Guoliang Lü,2023,10.1088/1674-4527/ace9b2,"Abstract Symbiotic stars are interacting binary systems, making them valuable for studying various astronomical phenomena, such as stellar evolution, mass transfer, and accretion processes. Despite recent progress in the discovery of symbiotic stars, a significant discrepancy between the observed population of symbiotic stars and the number predicted by theoretical models. To bridge this gap, this study utilized machine learning techniques to efficiently identify new symbiotic star candidates. Three algorithms (XGBoost, LightGBM, and Decision Tree) were applied to a data set of 198 confirmed symbiotic stars and the resulting model was then used to analyze data from the LAMOST survey, leading to the identification of 11,709 potential symbiotic star candidates. Out of these potential symbiotic star candidates listed in the catalog, 15 have spectra available in the Sloan Digital Sky Survey (SDSS) survey. Among these 15 candidates, two candidates, namely V* V603 Ori and V* GN Tau, have been confirmed as symbiotic stars. The remaining 11 candidates have been classified as accreting-only symbiotic star candidates. The other two candidates, one of which has been identified as a galaxy by both SDSS and LAMOST surveys, and the other identified as a quasar by SDSS survey and as a galaxy by LAMOST survey.",13,Research in Astronomy and Astrophysics,https://openalex.org/W4384942767,https://doi.org/10.1088/1674-4527/ace9b2,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3154,0.7,1.0,0.5946
Classification of large-scale stellar spectra based on the non-linearly assembling learning machine,Zhongbao Liu; Lipeng Song; Wenjuan Zhao,2015,10.1093/mnras/stv2600,"An important problem to be solved of traditional classification methods is they cannot deal with large-scale classification because of very high time complexity. In order to solve above problem, inspired by the thinking of collaborative management, the non-linearly assembling learning machine (NALM) is proposed and used in the large-scale stellar spectral classification. In NALM, the large-scale dataset is firstly divided into several subsets, and then the traditional classifiers such as support vector machine (SVM) runs on the subset, finally, the classification results on each subset are assembled and the overall classification decision is obtained. In comparative experiments, we investigate the performance of NALM in the stellar spectral subclasses classification compared with SVM. We apply SVM and NALM respectively to classify the four subclasses of K-type spectra, three subclasses of F-type spectra and three subclasses of G-type spectra from Sloan Digital Sky Survey (SDSS). The comparative experiment results show that the performance of NALM is much better than SVM in view of the classification accuracy and the computation time.",13,Monthly Notices of the Royal Astronomical Society,https://openalex.org/W2206825795,https://doi.org/10.1093/mnras/stv2600,machine learning stellar spectra,2026-07-22T10:19:44+00:00,1.0,0.3154,0.0,1.0,0.5946
Machine learning in solar physics,A. Asensio Ramos; Mark C. M. Cheung; Iulia Chifu; R. Gafeira,2023,10.1007/s41116-023-00038-x,"Abstract The application of machine learning in solar physics has the potential to greatly enhance our understanding of the complex processes that take place in the atmosphere of the Sun. By using techniques such as deep learning, we are now in the position to analyze large amounts of data from solar observations and identify patterns and trends that may not have been apparent using traditional methods. This can help us improve our understanding of explosive events like solar flares, which can have a strong effect on the Earth environment. Predicting hazardous events on Earth becomes crucial for our technological society. Machine learning can also improve our understanding of the inner workings of the sun itself by allowing us to go deeper into the data and to propose more complex models to explain them. Additionally, the use of machine learning can help to automate the analysis of solar data, reducing the need for manual labor and increasing the efficiency of research in this field.",67,Living Reviews in Solar Physics,https://openalex.org/W4384201335,https://doi.org/10.1007/s41116-023-00038-x,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.5043,0.7,1.0,0.5913
Objective Separation between CP1 and CP2 Based on Feature Extraction with Machine Learning,Lunhua Shang; A-Li Luo; Liang Wang; Li Qin; Bing Du; Xu-Jiang He; Xiangqun Cui; Yongheng Zhao; Rihong Zhu; Qi‐Jun Zhi,2022,10.3847/1538-4365/ac5831,"Abstract In the eighth data release (DR8) of the Large Sky Area Multi-Object Fiber Spectroscopic Telescope, more than 318,740 low-resolution stellar spectra with types from B to early F and signal-to-noise ratios &gt;50 were released. With this large volume of the early-type stars, we tried machine-learning algorithms to search for class-one and class-two chemical peculiars (CP1 and CP2), and to detect spectral features to distinguish the two classes in low-resolution spectra. We selected the XGBoost algorithm after comparing the classification efficiency of three machine-learning ensemble algorithms. Using XGBoost followed by the visual investigation, we presented a catalog of 20,694 sources, including 17,986 CP1 and 2708 CP2, in which 6917 CP1 and 1652 CP2 are newly discovered. We also list the spectral features to separate CP1 from CP2 discovered through XGBoost. The stellar parameters (including effective temperature ( T eff ), surface gravity (log g ), metallicity [Fe/H]), the spatial distribution in Galactic coordinates, and the color magnitude were provided for all of the entries of the catalog. The T eff for CP1 distributes from ∼6000 to ∼8500 K, while for CP2 it distributes from ∼7000 to ∼13,700 K. The log g of CP1 ranges from 2.8 to 4.8 dex, peaking at 4.5 dex, and of CP2 it ranges from 2.0 to 5.0 dex, peaking at 3.6 dex, respectively. The [Fe/H] of CP1 and CP2 are from −1.4 to 0.4 dex, and the [Fe/H] of CP1 are on average higher than that of CP2. Almost all of the targets in our sample locate around the Galactic plane.",20,The Astrophysical Journal Supplement Series,https://openalex.org/W4223474580,https://doi.org/10.3847/1538-4365/ac5831,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3639,0.6,1.0,0.5892
Machine Learning Based Automatic Modulation Recognition for Wireless Communications: A Comprehensive Survey,Bachir Jdid; Kaïs Hassan; Iyad Dayoub; Wei Hong Lim; Mastaneh Mokayef,2021,10.1109/access.2021.3071801,"The rapid development of information and wireless communication technologies together with the large increase in the number of end-users have made the radio spectrum more crowded than ever. Besides, providing a stable and reliable service is challenging, as electromagnetic environments are evolving and becoming more sophisticated. Accordingly, there is an urgent need for more reliable and intelligent communication systems that can improve the spectrum efficiency and the quality of service to provide agile management of network resources, so as to better meet the needs of future wireless users. Specifically, Automatic Modulation Recognition (AMR) plays an essential role in most intelligent communication systems especially with the emergence of Software Defined Radio (SDR). AMR is an indispensable task while performing spectrum sensing in Cognitive Radio (CR). Thanks to the significant advancements in Deep Learning (DL) applications, new and powerful tools have been provided which can tackle problems in this space. Thus, today, integrating DL models into AMR has gained the attention of many researchers. This work aims to provide a comprehensive state-of-the-art review of the most recent Machine Learning (ML) based AMR methods for Single-Input Single-Output (SISO) and Multiple-Input Multiple-Output (MIMO) systems. Furthermore, the architecture of each model will be identified along with a detailed comparison in terms of specifications and performance. Finally, an outline of the open problems, challenges, and potential research directions is provided along with discussion and conclusion.",174,IEEE Access,https://openalex.org/W3155899199,https://doi.org/10.1109/access.2021.3071801,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.6173,0.5,1.0,0.5852
Machine Learning Model for Leak Detection Using Water Pipeline Vibration Sensor,Suan Lee; B. Kim,2023,10.3390/s23218935,"Water leakage from aging water and wastewater pipes is a persistent problem, necessitating the improvement of existing leak detection and response methods. In this study, we conducted an analysis of essential features based on data collected from leak detection sensors installed at water meter boxes and water outlets of pipelines. The water pipeline data collected through the vibration sensor were preprocessed by converting it into a tabular form by frequency band and applied to various machine learning models. The characteristics of each model were analyzed, and XGBoost was selected as the most suitable leak detection model with a high accuracy of 99.79%. These systems can effectively reduce leak detection and response time, minimize water waste, and minimize economic losses. Additionally, this technology can be applied to various fields that utilize water pipes, making it widely applicable.",54,Sensors,https://openalex.org/W4388221752,https://doi.org/10.3390/s23218935,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.5,0.479,0.7,1.0,0.5837
The GALAH Survey: A New Sample of Extremely Metal-Poor Stars Using A Machine Learning Classification Algorithm,"Arvind C. N. Hughes; Lee R. Spitler; D. B. Zucker; Thomas Nordlander; Jeffrey D. Simpson; G. S. Da Costa; Yuan-Sen Ting; Chengyuan Li; Joss Bland‐Hawthorn; Sven Buder; Andrew R. Casey; Gayandhi M De Silva; V. D’Orazi; K. C. Freeman; Michael Hayden; Janez Kos; Geraint F. Lewis; Jane Lin; K. Lind; Sarah L. Martell; Katharine J. Schlesinger; Sanjib Sharma; T. Zwitter; Collaboration, The GALAH",2022,10.3847/1538-4357/ac5fa7,"Extremely Metal-Poor (EMP) stars provide a valuable probe of early chemical enrichment in the Milky Way. Here we leverage a large sample of $\sim600,000$ high-resolution stellar spectra from the GALAH survey plus a machine learning algorithm to find 54 candidates with estimated [Fe/H]~$\leq$~-3.0, 6 of which have [Fe/H]~$\leq$~-3.5. Our sample includes $\sim 20 \%$ main sequence EMP candidates, unusually high for \emp surveys. We find the magnitude-limited metallicity distribution function of our sample is consistent with previous work that used more complex selection criteria. The method we present has significant potential for application to the next generation of massive stellar spectroscopic surveys, which will expand the available spectroscopic data well into the millions of stars.",16,arXiv (Cornell University),https://openalex.org/W4225314923,http://arxiv.org/abs/2203.10843,machine learning stellar spectra,2026-07-22T10:19:44+00:00,0.65,0.3386,0.6,1.0,0.5816
